1;Какую первую программу обычно пишут программисты?
2;Бывает ли так, что программа скомпилировалась с первого раза и без ошибок?
3;Представим гипотетическую ситуацию, в которой программа всё-таки скомпилировалась с первого раза. Как вы поступите?
4;Вопрос на проверку логического мышления. Допустим, вы пишете проект, и заказчик утвердил документ, в котором чётко написано, что он хочет получить в результате. Назовём его ТЗ. Изменятся ли требования в процессе работы над проектом?
5;Какой правильный ответ на вопрос про рекурсию?
6;Представьте, что вы пишете программу и при попытке её сборки компилятор выдал вам одну ошибку. Вы исправили её и пробуете собрать проект ещё раз. Сколько теперь будет ошибок?
7;Вы пришли на проект, над которым раньше работал другой программист. Что можно сказать о его коде?
8;Перед вами три дерева. На том, что посередине, сидит кот. На дереве с каким индексом сидит кот?
9;Какое максимальное число из перечисленных можно показать пальцами одной руки?
10;Буратино дали три яблока. Два он съел. Сколько яблок осталось у Буратино?
